127.0.0.1 - - [11/Dec/2018:11:47:49 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:48:44 +0700] "GET /GimAndFit/ HTTP/1.1" 200 20163
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:48:45 +0700] "GET /GimAndFit/css/bootstrap.css HTTP/1.1" 200 141878
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:48:45 +0700] "GET /GimAndFit/css/owl.carousel.min.css HTTP/1.1" 200 3440
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:48:45 +0700] "GET /GimAndFit/css/animate.css HTTP/1.1" 200 24196
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:48:45 +0700] "GET /GimAndFit/fonts/ionicons/css/ionicons.min.css HTTP/1.1" 200 51284
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:48:45 +0700] "GET /GimAndFit/css/magnific-popup.css HTTP/1.1" 200 7781
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:48:45 +0700] "GET /GimAndFit/fonts/fontawesome/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:48:45 +0700] "GET /GimAndFit/css/style.css HTTP/1.1" 200 25370
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:48:45 +0700] "GET /GimAndFit/js/jquery-3.2.1.min.js HTTP/1.1" 200 86658
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:48:46 +0700] "GET /GimAndFit/js/popper.min.js HTTP/1.1" 200 19235
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:48:46 +0700] "GET /GimAndFit/js/bootstrap.min.js HTTP/1.1" 200 50564
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:48:46 +0700] "GET /GimAndFit/js/owl.carousel.min.js HTTP/1.1" 200 43237
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:48:46 +0700] "GET /GimAndFit/js/jquery.magnific-popup.min.js HTTP/1.1" 200 20932
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:48:46 +0700] "GET /GimAndFit/js/jquery.waypoints.min.js HTTP/1.1" 200 8835
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:48:46 +0700] "GET /GimAndFit/js/magnific-popup-options.js HTTP/1.1" 200 1284
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:48:46 +0700] "GET /GimAndFit/js/main.js HTTP/1.1" 200 4018
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:48:47 +0700] "GET /GimAndFit/img/img_3_square.jpg HTTP/1.1" 200 127894
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:48:47 +0700] "GET /GimAndFit/img/person_1.jpg HTTP/1.1" 200 30609
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:48:47 +0700] "GET /GimAndFit/img/person_2.jpg HTTP/1.1" 200 33958
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:48:47 +0700] "GET /GimAndFit/img/img_4_square.jpg HTTP/1.1" 200 75194
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:48:47 +0700] "GET /GimAndFit/img/img_1_square.jpg HTTP/1.1" 200 105641
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:48:47 +0700] "GET /GimAndFit/img/person_3.jpg HTTP/1.1" 200 45931
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:48:47 +0700] "GET /GimAndFit/img/img_2_square.jpg HTTP/1.1" 200 102582
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:48:49 +0700] "GET /GimAndFit/fonts/fontawesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 165742
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:48:50 +0700] "GET /GimAndFit/img/slider-1.jpg HTTP/1.1" 200 253009
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:48:50 +0700] "GET /GimAndFit/img/slider-2.jpg HTTP/1.1" 200 203332
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:49:59 +0700] "GET /GimAndFit/ HTTP/1.1" 200 20163
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:49:59 +0700] "GET /GimAndFit/css/bootstrap.css HTTP/1.1" 200 141878
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:50:00 +0700] "GET /GimAndFit/css/owl.carousel.min.css HTTP/1.1" 200 3440
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:50:00 +0700] "GET /GimAndFit/fonts/fontawesome/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:50:00 +0700] "GET /GimAndFit/css/style.css HTTP/1.1" 200 25370
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:50:00 +0700] "GET /GimAndFit/fonts/ionicons/css/ionicons.min.css HTTP/1.1" 200 51284
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:50:00 +0700] "GET /GimAndFit/css/animate.css HTTP/1.1" 200 24196
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:50:00 +0700] "GET /GimAndFit/css/magnific-popup.css HTTP/1.1" 200 7781
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:50:00 +0700] "GET /GimAndFit/js/jquery-3.2.1.min.js HTTP/1.1" 200 86658
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:50:00 +0700] "GET /GimAndFit/js/popper.min.js HTTP/1.1" 200 19235
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:50:00 +0700] "GET /GimAndFit/js/bootstrap.min.js HTTP/1.1" 200 50564
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:50:00 +0700] "GET /GimAndFit/js/owl.carousel.min.js HTTP/1.1" 200 43237
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:50:00 +0700] "GET /GimAndFit/js/jquery.waypoints.min.js HTTP/1.1" 200 8835
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:50:00 +0700] "GET /GimAndFit/js/jquery.magnific-popup.min.js HTTP/1.1" 200 20932
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:50:00 +0700] "GET /GimAndFit/js/magnific-popup-options.js HTTP/1.1" 200 1284
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:50:00 +0700] "GET /GimAndFit/js/main.js HTTP/1.1" 200 4018
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:50:00 +0700] "GET /GimAndFit/img/img_1_square.jpg HTTP/1.1" 200 105641
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:50:00 +0700] "GET /GimAndFit/img/img_3_square.jpg HTTP/1.1" 200 127894
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:50:00 +0700] "GET /GimAndFit/img/img_2_square.jpg HTTP/1.1" 200 102582
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:50:00 +0700] "GET /GimAndFit/img/img_4_square.jpg HTTP/1.1" 200 75194
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:50:00 +0700] "GET /GimAndFit/img/person_1.jpg HTTP/1.1" 200 30609
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:50:00 +0700] "GET /GimAndFit/img/person_2.jpg HTTP/1.1" 200 33958
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:50:00 +0700] "GET /GimAndFit/img/person_3.jpg HTTP/1.1" 200 45931
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:50:01 +0700] "GET /GimAndFit/img/slider-2.jpg HTTP/1.1" 200 203332
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:50:01 +0700] "GET /GimAndFit/img/slider-1.jpg HTTP/1.1" 200 253009
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:50:01 +0700] "GET /GimAndFit/fonts/fontawesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:50:01 +0700] "GET /GimAndFit/fonts/ionicons/fonts/ionicons.ttf?v=2.0.0 HTTP/1.1" 200 188508
0:0:0:0:0:0:0:1 - - [11/Dec/2018:11:50:03 +0700] "GET /favicon.ico HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:18:43 +0700] "GET /GimAndFit/ HTTP/1.1" 200 20165
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:27:23 +0700] "GET /GimAndFit/ HTTP/1.1" 200 20166
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:29:47 +0700] "GET /GimAndFit/ HTTP/1.1" 200 20535
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:32:04 +0700] "GET /GimAndFit/ HTTP/1.1" 200 20405
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:32:18 +0700] "GET /GimAndFit/index.html HTTP/1.1" 200 20405
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:32:19 +0700] "GET /GimAndFit/about.html HTTP/1.1" 404 1127
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:32:24 +0700] "GET /GimAndFit/news.html HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:32:27 +0700] "GET /GimAndFit/contact.html HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:38:33 +0700] "GET /GimAndFit/index.jsp HTTP/1.1" 500 2667
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:45:23 +0700] "GET /GimAndFit/index.jsp HTTP/1.1" 500 2956
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:45:51 +0700] "GET /GimAndFit/index.jsp HTTP/1.1" 500 2956
